,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000253742,2.56592829828e-06,B,CompMental,F1,Computer,Sue thinks there is candy in the jar.,0.588237155676,4.08823658547,4.11963157826,8.1325518845,1,Jar,6.469503367356083,2.3498552531091264,1,8.14835971583,11.5483694664,11.5903027283,13.5903032985,13.5956817701,15.5956954551,15.5956963104,25.5957216845
1,25.5976501225,4.27654595114e-06,B,CompNM,F1,Computer,Sue plays Minecraft.,0.578657688577,4.07866339064,4.11168803325,8.11756743118,1,Computer,6.457603445414861,2.3459042931426666,1,8.13419379376,14.1342134659,14.1774257007,16.1774328283,16.1825521411,18.5000011404,18.5000019957,44.0976504076
2,44.0993025806,3.99144482799e-06,B,CompMental,F1,Computer,Sue wants to stay dry at the lake.,0.55468079562,4.05468307644,4.08370772133,8.08928376947,1,Picnic,5.756311186705716,1.6725949122737802,1,8.10596943352,11.1059822632,11.1447859474,13.1447922196,13.1501136706,17.3501192587,17.350120114,61.4494206988
3,61.4511182032,4.27654595114e-06,B,CompNM,F1,Computer,Sue is going skiing.,0.556545085361,4.05655249804,4.08709788334,8.09158341178,2,Snow boots,6.129004345541034,2.0418907815328566,0,8.10835460678,12.3083753053,12.351153613,14.3511573194,14.3562421347,17.3562509729,17.3562518282,78.8073680357
4,78.8090413063,3.99144482799e-06,B,PeerMental,F1,Danielle,I care about the environment.,0.575340798096,4.07534621506,4.10162275032,8.10553351074,1,Recycling,5.521575753911748,1.4199364676060213,1,8.12261575332,11.5226357676,11.5529142963,13.5529160069,13.5576723834,15.5576840726,15.557685213,94.3667250938
5,94.3684456916,4.27654958912e-06,B,CompNM,F1,Computer,Sue is running late for her piano lesson.,0.567114145626,4.06711443073,4.09544969611,8.11209829674,2,Shortcut,5.828482492670446,1.7330245285666024,0,8.12857925669,14.1285838183,14.1708081706,16.1708107365,16.1762730285,18.6762875688,18.6762887092,113.04473212
6,113.046568184,4.27654958912e-06,B,CompNM,F1,Computer,Sue lives far away from school.,0.585691469314,4.08569774159,4.11260578041,8.12451653627,1,Bus,5.690865750042576,1.578251131431898,1,8.1411828133,12.3411909672,12.3773471833,14.3773503194,14.382980252,17.7829868664,17.7829880068,130.829554196
7,130.831499169,3.99144482799e-06,B,PeerMental,F1,Danielle,I am angry at my mom.,0.564226620543,4.0642314673,4.09135504413,8.09465539863,1,Glare at mom,8.014988159666245,3.9236239922283858,0,8.11131084173,11.111325382,11.1457068307,13.1457145285,13.1506927152,15.6507009832,15.6507018385,146.482199012
8,146.483915048,3.99144482799e-06,B,PeerNM,F1,Danielle,My dog is sick.,0.545967757109,4.04597402938,4.07288948089,8.07593409783,2,Veterinarian,5.86125995081602,1.7883619168278528,0,8.09262888517,14.0926368681,14.1249638632,16.1249650036,16.129931216,18.129947752,18.1299488924,164.613861945
9,164.615696299,3.99144482799e-06,B,CompMental,F1,Computer,Sue wonders if the weather is nice.,0.572383137631,4.0723891248,4.10129545186,8.10274063992,1,Window,6.023141255514929,1.9218326889022137,1,8.132873766,14.1328840297,14.1731685399,16.173177093,16.1781187865,19.0000011404,19.0000019957,183.615696584
10,183.617432007,4.27654958912e-06,B,PeerNM,F1,Danielle,I do not have any paper.,0.548858703431,4.04886583101,4.07826339087,8.08968576497,2,Sidewalk chalk,7.17770966345779,3.0994368641840992,1,8.10608176417,12.3061024627,12.3397161285,14.339717554,14.347125105,16.3471399304,16.3471410708,199.964571367
11,199.966424823,3.99144482799e-06,B,PeerMental,F1,Danielle,I am scared of roller coasters.,0.560295332692,4.06029761352,4.09072553629,8.0925504818,1,Water park,5.858577700029855,1.7678419000185386,0,8.10927549008,11.5092969298,11.5421975526,13.5422021142,13.5469619119,16.046970465,16.0469716054,216.013394148
12,216.015189728,4.27654595114e-06,B,CompNM,F1,Computer,Sue is playing with three friends.,0.562974447341,4.06297587286,4.09369146475,8.09517998849,2,Card game,6.911363414757943,2.817663111807633,1,8.11175047085,11.5117596512,11.5550328981,13.5550405958,13.5602599799,15.560276801,15.5602776563,231.575465388
13,231.577286057,3.99144482799e-06,B,PeerMental,F1,Danielle,I am bored.,0.559491056596,4.05949647356,4.08794178877,8.10011227363,1,New game,6.08014165066561,1.9921924492118706,1,8.11674262766,14.1167523212,14.1528586441,16.152858359,16.1575363321,18.6575537234,18.6575545787,250.234838925
14,250.23661968,4.56165071228e-06,B,PeerNM,F1,Danielle,I just got a new sleeping bag.,0.566653989077,4.06666026135,4.13069187131,8.13125238417,2,Go camping,5.750042337822379,1.6193427687285293,1,8.14792521857,11.1479446056,11.1876007483,13.18760531,13.1928161409,17.3928234396,17.39282458,267.629442264
15,267.631286882,4.27654958912e-06,B,CompMental,F1,Computer,Sue thinks she is funny.,0.581642718949,4.08164614019,4.11263714176,8.12413763413,N/A,Tell a joke,N/A,N/A,0,8.14094959889,12.3409549018,12.3799267969,14.3799310735,14.3854991387,17.3855108279,17.3855116832,285.016796569
16,285.018735841,3.99144482799e-06,B,PeerNM,F1,Danielle,I am in the living room. ,0.55138471767,4.0513878538,4.08190815002,8.09086409644,1,Watch TV,5.310842588256492,1.2289227490073245,1,8.10760649602,11.507620238,11.5438964825,13.5439044653,13.5487053179,15.5487184327,15.548719288,300.567453704
17,300.569473375,4.27654958912e-06,B,PeerMental,F1,Danielle,I am excited to see my friend.,0.563846863097,4.06384657799,4.08978212985,8.09040736114,1,Hug friend,5.476106642279774,1.38631453382186,1,8.10765125722,14.1076663677,14.1423294983,16.1423374812,16.1471525889,18.6471659888,18.6471668441,319.216638223
18,319.218571793,4.27654958912e-06,B,PeerMental,F1,Danielle,I think flying is fun.,0.565901031561,4.06591186548,4.08901035552,8.09838796956,2,Plane,5.76750120170982,1.6784822930967493,1,8.11508731855,12.3151000342,12.3426854782,14.3426871888,14.347851833,17.7478598729,17.7478607282,336.966430525
19,336.968369797,4.27654958912e-06,B,CompMental,F1,Computer,Sue does not like fruit.,0.566911722359,4.06691942015,4.09507250459,8.10359024742,1,Soda,5.772606829592405,1.6775232059735572,1,8.12032152797,11.1210394178,11.1619497295,13.1619548613,13.1675585645,15.6675665474,15.6675676878,352.635935489
20,352.637907833,4.27654958912e-06,B,CompNM,F1,Computer,Sue can play the piano and violin. ,0.572531391288,4.07253452742,4.10144883738,8.11798482225,2,Music,5.90270625647463,1.8012468702763726,1,8.13458638085,14.1345986403,14.1692127332,16.1692195756,16.174917933,18.1749327584,18.1749338988,370.812839736
21,370.81483888,4.27654595114e-06,B,PeerNM,F1,Danielle,I invited a lot of friends to the party.,0.557771884378,4.05777958216,4.08740665009,8.09713494105,1,Laser tag,7.231776346812694,3.1443597181096266,1,8.11381433282,14.1138214604,14.1425997761,16.142607759,16.1477758245,19.1477880839,19.1477892244,389.962626108
22,389.964673719,5.13185659656e-06,B,PeerNM,F1,Danielle,I am drawing something blue.,0.558319282496,4.05832127822,4.08435148433,8.08855133938,1,The ocean,5.359507421519083,1.2751448181625165,1,8.10535389573,12.3053671815,12.3343057253,14.3343094316,14.339852978,16.3398626715,16.3398635268,406.304534395
23,406.306640452,4.27654958912e-06,B,CompMental,F1,Computer,Sue wants to borrow a book. ,0.562395972975,4.06240196014,4.09103202222,8.09855104858,2,Library,5.703424260344036,1.61238796158068,1,8.11526750377,11.5152886584,11.5544176454,13.554422207,13.5594491464,16.0594545634,16.0594554187,422.366093875
