,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000347826,2.56592829828e-06,A,PeerMental,F1,Danielle,I want to get a good grade.,0.581529532981,4.08153666056,4.11588703299,8.12004098643,1,Study for test,5.837341789112543,1.7214453477135976,0,8.13675116935,11.5367609199,11.5703343861,13.5703386627,13.5751902636,15.57520794,15.5752087953,25.5752435779
1,25.5771512033,4.84675547341e-06,A,CompNM,F1,Computer,Sue is in a research lab.,0.565441730327,4.06544885791,4.09807407095,8.10970428527,1,Pay attention,7.209717628102226,3.111634148746816,1,8.12644440402,14.1264623655,14.1720181485,16.1720235655,16.1775009679,18.6775072402,18.6775083806,44.2546573031
2,44.2562698467,3.99144482799e-06,A,PeerNM,F1,Danielle,My headphones are broken.,0.579915278737,4.07991613405,4.11045154073,8.12080933953,N/A,Draw a picture,N/A,N/A,0,8.13749614398,11.1375078332,11.1726026101,13.172610593,13.17731337,17.377321524,17.3773223793,61.6335905154
3,61.6353210918,3.99144482799e-06,A,PeerMental,F1,Danielle,I like to play with animals.,0.557471670723,4.05747765789,4.08199995324,8.09629588237,2,Dog,5.360388675475406,1.2783801691330154,1,8.11291055572,12.3129207054,12.3384830572,14.3384901848,14.343348058,17.3433571813,17.3433580366,78.9786774177
4,78.9804946654,5.70206611883e-06,A,CompMental,F1,Computer,Sue is interested in the ocean.,0.554930546012,4.05493197153,4.08561335104,8.08855675635,1,Aquarium,5.924308810088405,1.838688331466983,1,8.10516857867,11.5051854568,11.5494143695,13.5494209269,13.5546397408,15.5546534257,15.554654281,94.5351460954
5,94.5368416041,3.99144482799e-06,A,PeerNM,F1,Danielle,I came in third place in the contest.,0.576086628032,4.07609489602,4.10815474945,8.11679508664,1,Bronze medal,6.9053885072607954,2.797223779201886,1,8.13569286632,14.1357088321,14.1743628371,16.1743673988,16.1791249157,18.5000011404,18.5000019957,113.036841889
6,113.03883362,4.27654595114e-06,A,CompMental,F1,Computer,Sue likes to read.,0.578712143284,4.07871641983,4.11085952339,8.12052224061,N/A,Long novel,N/A,N/A,0,8.13721531734,12.3372209054,12.3802883077,14.3802928694,14.3857118257,17.7857224315,17.7857232868,130.824554911
7,130.826306585,4.27654595114e-06,A,CompNM,F1,Computer,Sue's computer screen is very dark. ,0.577774438902,4.07777814524,4.10825168453,8.12152181239,1,Brightness,5.459231099510362,1.3509714320935018,1,8.13822800386,11.1382396931,11.1768041757,13.1768053161,13.1829997531,15.6830051701,15.6830060254,146.509310615
8,146.511143258,3.99144482799e-06,A,CompMental,F1,Computer,Sue likes homemade meals.,0.590945065749,4.09095133802,4.12192779933,8.13772565205,N/A,Pack lunch,N/A,N/A,0,8.1544210096,14.1544324137,14.194562398,16.194562398,16.1996705918,18.1996968213,18.1996979617,164.710838939
9,164.712622259,3.70634006686e-06,A,CompNM,F1,Computer,Sue is wearing a costume.,0.566421344876,4.0664233406,4.09867706419,8.10870784963,N/A,School play,N/A,N/A,0,8.12540548801,14.1254091943,14.1657304828,16.1657358998,16.1711135161,19.1711291968,19.1711300521,183.883750316
