,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000327462,3.42132989317e-06,B,CompNM,M2,Computer,Ken has big feet. ,0.584385853377,4.08439660585,4.14036906383,8.14775552019,1,Big shoes,5.30042980553,1.1600548767,1,8.16445752338,11.5644654412,11.6376149659,13.6376222972,13.6580246154,15.6580431878,15.6580441653,25.6580769115
1,25.6699613205,5.86500391364e-06,B,PeerMental,M2,Domenick,I like to run.,0.559621943277,4.05962438707,4.09946130146,8.10694306379,1,Soccer,5.62051121145,1.52106261742,1,8.1236572857,14.1236734143,14.1682243083,16.1682243083,16.1886715913,18.6886799,18.6886813663,44.3586397542
2,44.3699376651,6.8424269557e-06,B,CompNM,M2,Computer,Ken has to carry a lot of books.,0.577807786874,4.07782049442,4.11775222595,8.12533515925,2,Backpack,5.36021450197,1.2424593434,1,8.14184655051,11.1418729429,11.24771339,13.2477260975,13.2680790521,17.4680920528,17.4680930304,61.8380272741
3,61.8503593769,6.35371543467e-06,B,PeerMental,M2,Domenick,I think my friend is mad at me.,0.579927489278,4.07993530924,4.12074238947,8.12728282216,2,Apologize,5.63977181306,1.51902697992,1,8.14397553913,12.3440027136,12.4019697543,14.4019834392,14.42236914,17.4223916224,17.4223930887,79.2727495331
4,79.2840616176,6.35371543467e-06,B,PeerNM,M2,Domenick,I am going to a water park.,0.561995794764,4.06198992976,4.10192948137,8.10937654262,2,Bathing suit,5.57657271938,1.47464177175,1,8.12607316952,11.5261040585,11.5825027052,13.5825232327,13.6029451007,15.6029573195,15.6029587857,94.8870169821
5,94.8983114717,6.8424269557e-06,B,PeerMental,M2,Domenick,I do not like fruit.,0.560156634077,4.06016103283,4.10010009562,8.10752858443,1,Soda,5.54182465456,1.44172162644,1,8.1242330313,14.1242447613,14.1688885174,16.1688885174,16.189276662,18.6892839931,18.6892849706,113.58759351
6,113.599112335,6.35371543467e-06,B,PeerMental,M2,Domenick,I like homemade meals.,0.560902953148,4.06090637436,4.10083321843,8.10825144348,2,Pack lunch,5.77141769323,1.67057860969,1,8.12495198043,12.3249762224,12.3829369094,14.3829461957,14.4033333627,17.8033251517,17.8033266179,131.40243602
7,131.416101918,6.84254337102e-06,B,PeerNM,M2,Domenick,I live far away from school.,0.577133313986,4.07713869028,4.11707726435,8.12447642814,1,Bus,5.34478226746,1.22769864951,1,8.14120873378,11.1412356149,11.1802431231,13.1802489881,13.2006561938,15.7006625475,15.7006640137,147.11676251
8,147.130145422,5.86500391364e-06,B,CompMental,M2,Computer,Ken wants to eat healthy.,0.559211394517,4.05921334948,4.09895935666,8.1064122828,1,Fish,6.31017105223,2.21120583068,1,8.12310988724,14.1231304148,14.1844404953,16.1844478266,16.2048144662,18.2048310837,18.2048320611,165.334974551
9,165.343487084,6.35371543467e-06,B,CompNM,M2,Computer,Ken is going to the beach later today.,0.579713906161,4.07972025988,4.11965687899,8.12700961169,1,Sunscreen,5.5067774757,1.38713330415,1,8.14374631608,14.1437731972,14.2050871878,16.2050989178,16.2255061235,19.225522741,19.2255242072,184.569008359
