,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000293655,2.28081262321e-06,A,PeerNM,M2,Laurence,I am in a research lab.,0.578713690178,4.07872195812,4.11414440166,8.12265411307,1,Pay attention,5.62234221197,1.50818783175,1,8.13939299597,11.5394038868,11.5742949011,13.5742968968,13.5792197455,15.5792271581,15.5792280134,25.5792573789
1,25.5811977801,4.56162524642e-06,A,PeerMental,M2,Laurence,I like to read.,0.57040440516,4.07040583067,4.09841449319,8.10790324337,2,Long novel,7.21527933396,3.11685657282,1,8.12447847797,14.1244881714,14.1630932037,16.1630957696,16.1679017266,18.6679174072,18.6679182625,44.2491137618
2,44.2508545919,4.27652412327e-06,A,CompMental,M2,Computer,Tim cares about the environment.,0.571948515219,4.07195051093,4.10053108719,8.11201782911,1,Recycling,5.27921392938,1.17867286364,1,8.12868771742,11.1286954152,11.1823486781,13.1823498185,13.1879455068,17.3879556564,17.3879567969,61.6388093931
3,61.6404264891,4.56162524642e-06,A,PeerNM,M2,Laurence,I am going to a water park.,0.572449153562,4.07245314499,4.09682419668,8.10977122881,1,Bathing suit,6.96425083007,2.86741865054,0,8.12679606857,12.3268096394,12.3572430907,14.357246797,14.3620675793,17.3620804089,17.3620812642,79.0025054725
4,79.004182725,4.27652412327e-06,A,CompNM,M2,Computer,Tim's headphones are broken.,0.576694600917,4.07670172846,4.11163379731,8.11664018073,2,Draw a picture,5.90307202635,1.79142939089,1,8.13344834331,11.5334618001,11.5806056241,13.5806050539,13.5861243351,15.586129752,15.5861306073,94.5903113366
5,94.5920362011,4.27652412327e-06,A,CompMental,M2,Computer,"Tim likes calm, relaxing rides.",0.573480936113,4.07348321693,4.1030166026,8.11340199719,1,Ferris wheel,5.8494281718,1.74640244594,1,8.13085163828,14.130862187,14.1733511579,16.1733520132,16.1783683752,18.6783823451,18.6783834855,113.270417406
6,113.272229511,4.27652412327e-06,A,CompNM,M2,Computer,Tim is going to the beach later today.,0.574483638309,4.07448677443,4.10464196661,8.10597994824,1,Sunscreen,5.59224033378,1.48758838862,1,8.12264299412,12.3226602713,12.3625311545,14.3625314396,14.3676598465,17.7676710224,17.7676718778,131.039899393
7,131.04158862,3.99142300012e-06,A,PeerMental,M2,Laurence,I think my friend is mad at me.,0.580313395043,4.08032080768,4.10901428416,8.12526250726,2,Apologize,5.65780770584,1.54878600904,1,8.14197687142,11.1419808628,11.1743997614,13.1744003316,13.1791578214,15.6791683701,15.6791692255,146.72075585
8,146.722522339,4.56162160845e-06,A,CompNM,M2,Computer,Tim's bedroom gets cold at night.,0.563125762288,4.06312576229,4.09297418519,8.09528778437,1,Close window,6.21193908406,2.11895606072,1,8.1112309488,14.1112369359,14.1544691666,16.1544688814,16.1596343515,18.1596494619,18.1596503172,164.882170376
9,164.883940286,4.27652412327e-06,A,PeerMental,M2,Laurence,I know it will rain later.,0.536561994479,4.03656341999,4.06383395457,8.0727485102,1,Umbrella,5.40439318699,1.34054355183,1,8.08920029582,14.0892065681,14.1225038645,16.1225115623,16.1279327685,19.1279490193,19.1279498746,184.011888165
10,184.01371253,4.84672636958e-06,A,CompNM,M2,Computer,Tim only rides his bike in the street.,0.571232910297,4.07123462091,4.10308474188,8.11732214367,1,Road bike,6.88849421329,2.78539379083,0,8.13402424846,12.3340335428,12.381497821,14.3814972508,14.3871128962,16.3871240152,16.3871248705,200.400835119
11,200.402951999,4.56162524642e-06,A,PeerNM,M2,Laurence,I am very tall for my age.,0.559822005391,4.05982115009,4.08482911868,8.09718713097,2,Basketball,5.34381081573,1.258973144,1,8.11526884222,11.5152720354,11.5479124579,13.5479175897,13.5526588287,16.0526690923,16.0526699476,216.455619665
12,216.457426354,4.27652412327e-06,A,PeerMental,M2,Laurence,I know my sister is lying.,0.558939616061,4.05894189687,4.08479547669,8.09405985194,1,Tell on her,5.64386053744,1.55904709935,1,8.11150151018,11.5115029927,11.5445682165,13.5445682165,13.5498366083,15.5498434507,15.5498445911,232.007268664
13,232.009061098,5.13182749273e-06,A,PeerMental,M2,Laurence,I know my brother is hiding in the closet.,0.562220564829,4.06222370095,4.09150534195,8.09186884644,2,Open closet,5.55574790408,1.46423429418,1,8.10864735845,14.1086616135,14.1467680032,16.1467685734,16.1537980375,18.653810867,18.6538117223,250.662869969
14,250.664698611,4.27652412327e-06,A,PeerNM,M2,Laurence,I stayed home sick from school today.,0.576627602051,4.07663244878,4.14164216219,8.14483016785,2,Doctor's office,7.79660141832,3.65494300535,1,8.16207767193,11.1620856548,11.1965091024,13.1965165151,13.2015514087,17.4015629838,17.4015638391,268.066260169
15,268.068120171,4.56162524642e-06,A,CompMental,M2,Computer,Tim thinks it will be warm today.,0.570374754599,4.07037618011,4.10079566144,8.11072403822,2,T-shirt,7.2973278571,3.19652506812,1,8.12730240894,12.3273231073,12.3692290455,14.3692344624,14.3746810426,17.3746981487,17.374699004,285.442816895
16,285.444759862,4.84672636958e-06,A,CompNM,M2,Computer,Tim is going on a hike.,0.577273071987,4.07727677831,4.10488544334,8.10516142166,1,Trail mix,5.90460188133,1.79970474882,1,8.12187949213,11.5218881022,11.5632144289,13.5632221266,13.5703530869,15.5703593591,15.5703604995,301.015118081
17,301.016920207,4.27652412327e-06,A,CompMental,M2,Computer,Tim thinks TV shows should be silly.,0.566052900027,4.06605375533,4.09667879489,8.09969916083,2,Comedy ,5.14681704064,1.0501299778,1,8.11639043177,14.1163992699,14.1567935996,16.1567961655,16.161808251,18.6618173742,18.6618185146,319.678736726
18,319.680603286,4.56162524642e-06,A,CompMental,M2,Computer,Tim thinks flying is fun.,0.561957130991,4.06196511383,4.08896109561,8.0930118186,2,Plane,6.22791446497,2.13894396101,1,8.10976923309,12.3097850847,12.3449258479,14.3449281287,14.3502504047,17.7502635764,17.7502644317,337.430865437
19,337.432679538,4.27652412327e-06,A,PeerMental,M2,Laurence,I am interested in the ocean.,0.551909011549,4.05191015195,4.07635846618,8.07918610347,1,Aquarium,5.14870156196,1.07233368743,1,8.095749934,11.0957678954,11.1309072331,13.1309149308,13.1360156829,15.6360282273,15.6360290826,353.068706625
20,353.07061367,4.84672636958e-06,A,PeerNM,M2,Laurence,I can play the piano and violin. ,0.559179671574,4.05917967157,4.08309541608,8.09143007514,2,Music,5.27617645734,1.19307134781,1,8.10812191627,14.1081358862,14.1337400022,16.1337439936,16.1388515881,18.1388763919,18.1388772472,371.209488351
21,371.211707867,4.56162524642e-06,A,PeerNM,M2,Laurence,I can do the splits.,0.553504439886,4.05351270783,4.07821647305,8.08956608113,1,Gymnastics,5.50911469693,1.43088853042,1,8.10624081616,14.1062679008,14.1402511517,16.1402522921,16.1455497642,19.145566015,19.1455668703,390.357272456
22,390.359149565,4.84672636958e-06,A,CompMental,M2,Computer,Tim is angry at his mom.,0.575362036219,4.07536631274,4.10662883939,8.11837502374,2,Glare at mom,6.51845519429,2.41181751676,1,8.13610777067,12.3361224819,12.3800925554,14.3800985425,14.3855833263,16.3856001473,16.3856012877,406.744748002
23,406.746682701,4.27652412327e-06,A,CompNM,M2,Computer,Tim is drawing something blue.,0.569127720366,4.06912914588,4.09965953172,8.11460027906,1,The ocean,5.2842559505,1.18458644022,1,8.13134229807,11.5313614569,11.5700902232,13.5700905083,13.5753526279,16.0753597554,16.0753606107,422.822041031
