,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000210976,2.28081808018e-06,A,CompNM,M2,Computer,Ken is going to the beach later today.,0.606707485702,4.10671176224,4.14006701042,8.14915635405,1,Sunscreen,6.6173406578,2.47726224329,1,8.18425101083,11.5842613886,11.6526787919,13.6526870598,13.6692891318,15.6692956892,15.6692965445,25.6693176421
1,25.6711976061,1.48253147927e-05,A,CompMental,M2,Computer,Ken thinks flying is fun.,0.605571638489,4.10557762563,4.13914441967,8.15551527378,2,Plane,5.75989375951,1.62074249739,1,8.17542424635,14.1754450588,14.2254739397,16.225477646,16.2421455766,18.7421589764,18.7421598317,44.4133448933
2,44.4151205099,4.27653139923e-06,A,PeerMental,M2,Mitchell,I do not think the teacher heard me.,0.581716851308,4.08172055764,4.11536974621,8.13190054266,2,Repeat question,7.55590968418,3.44053138491,0,8.15185912301,11.151875944,11.2019062504,13.2019119525,13.2185436751,17.4185534256,17.4185554213,61.8336745056
3,61.8353392175,3.99143027607e-06,A,CompNM,M2,Computer,Ken is in the living room. ,0.581442012775,4.08144400849,4.11478984831,8.13160232575,1,Watch TV,7.33577599405,3.22097673737,1,8.15180865992,12.3518275337,12.4227595385,14.4227678065,14.4383067323,17.4383132897,17.438314145,79.2736513668
4,79.2754075964,4.84673728351e-06,A,PeerNM,M2,Mitchell,I am very tall for my age.,0.581191407931,4.08119112283,4.11454066898,8.13144723015,2,Basketball,5.79587736499,1.68132985357,1,8.15146995849,11.5514891744,11.6044366466,13.6044394976,13.6209457753,15.6209520475,15.6209531879,94.8963579333
5,94.8981241415,4.27653321822e-06,A,PeerMental,M2,Mitchell,I worry about being in front of people.,0.598574945105,4.09857551531,4.1319313337,8.13244109646,2,Read a book,6.79644671411,2.66450369122,1,8.15397800265,14.1539988151,14.2059421573,16.2059427275,16.2225898457,18.7225958328,18.7225969732,113.620718549
6,113.62260507,4.56163434137e-06,A,PeerNM,M2,Mitchell,I stayed home sick from school today.,0.589061084289,4.08906621613,4.12242403024,8.13965874406,1,Doctor's office,7.76360664562,3.64117092619,0,8.16051425597,12.3605305638,12.4093460497,14.4093500411,14.4260544648,17.8260591405,17.8260602809,131.448662785
7,131.450425572,5.70204429096e-06,A,CompMental,M2,Computer,Ken does not think he did well on the test.,0.611281095385,4.11128537192,4.14479571571,8.15708019982,1,Ask for help,7.32583875645,3.18103648339,1,8.19159182258,11.1915998054,11.2622469932,13.2622458528,13.2789422936,15.7789508467,15.7789519871,147.229374708
8,147.231184252,4.84673728351e-06,A,PeerNM,M2,Mitchell,I am in the kitchen.,0.605758950642,4.10576465269,4.13896908181,8.15582375437,2,Get a snack,6.47993764245,2.34096029267,1,8.17612246166,14.176137287,14.2258169176,16.2258191984,16.2424720186,18.2424797164,18.2424805717,165.473661973
9,165.475536234,4.56163616036e-06,A,CompMental,M2,Computer,Ken wants to save money.,0.606212833363,4.10621996092,4.13955610726,8.15176104785,2,Yo-yo,6.25570532292,2.11613809667,1,8.17139290107,14.1714054456,14.2423574076,16.2423574076,16.2580659692,19.2580730968,19.2580739521,184.733607906
10,184.735564562,4.84673728351e-06,A,PeerNM,M2,Mitchell,I am going to a water park.,0.601241791195,4.10124378691,4.13493973224,8.1455036245,2,Bathing suit,6.72929516461,2.5943471644,1,8.16541744381,12.3654343219,12.4192251264,14.4192282625,14.4357542122,16.4357889947,16.43578985,201.171351561
11,201.173158824,4.56163434137e-06,A,CompNM,M2,Computer,Ken sprained his ankle.,0.618625613468,4.11863217082,4.16861857144,8.1849694684,2,Watch a movie,6.70777507944,2.53914938045,1,8.20152164752,11.6015308848,11.6679374623,13.6679445898,13.6846378945,16.1846541454,16.1846552858,217.357811544
12,217.359663283,4.56163616036e-06,A,CompMental,M2,Computer,Ken wants to eat healthy.,0.582217775896,4.08222547366,4.11556447102,8.12724368313,1,Fish,6.27138280845,2.15581006947,1,8.1472296333,11.5472517002,11.5997370217,13.599740728,13.6164306115,15.6164388795,15.6164400199,232.976101022
13,232.978036296,4.84673728351e-06,A,CompMental,M2,Computer,Ken is angry at his mom.,0.619622045699,4.11962119039,4.15208121764,8.16169999607,2,Glare at mom,6.44846264334,2.29636603018,1,8.19918922633,14.1991992049,14.2687447577,16.2687444726,16.2855877411,18.7856034217,18.7856045621,251.763638292
14,251.765525669,4.27653321822e-06,A,CompNM,M2,Computer,Ken can speak Spanish.,0.601258612225,4.10125775692,4.13467971903,8.15259069529,1,Mexico,5.97546895037,1.8407829591,1,8.18590659938,11.1859211396,11.235382667,13.2353849479,13.2520617166,17.4520774543,17.4520783096,269.217601697
15,269.219569758,5.13184022566e-06,A,PeerMental,M2,Mitchell,I wonder if the weather is nice.,0.582119700734,4.08212654319,4.11550659527,8.12241633248,1,Window,6.32529763245,2.20978447983,1,8.15780549985,12.3578195269,12.4077916724,14.4077928128,14.4244564669,17.4244704369,17.4244712922,286.644038199
16,286.646063565,4.27653321822e-06,A,PeerNM,M2,Mitchell,I am playing with three friends.,0.600777929896,4.10078591276,4.13404679212,8.15149789851,2,Card game,6.11524515654,1.98119123687,1,8.18757729834,11.5875856803,11.6370494886,13.6370517694,13.6537037343,15.6537159937,15.6537171341,302.299778419
17,302.326938396,5.13184022566e-06,A,PeerMental,M2,Mitchell,I like to run.,0.580013650695,4.08001935274,4.11319755245,8.13129327495,1,Soccer,6.45469440749,2.34148830197,1,8.15135278149,14.1513559176,14.2024063197,16.2024125919,16.2190597101,18.7190765311,18.7190776715,321.046013216
18,321.04798926,4.56163434137e-06,A,PeerMental,M2,Mitchell,I think there is candy in the jar.,0.578826199981,4.07883247223,4.11226840435,8.11464073985,1,Jar,5.69803655809,1.58575304332,1,8.14978015768,12.3497836359,12.3991590625,14.3991607731,14.4157967723,17.8158137074,17.8158145627,338.863801256
19,338.865784142,4.56163616036e-06,A,CompMental,M2,Computer,Ken likes to play with animals.,0.615990413724,4.11599868169,4.14957830532,8.16413847529,2,Dog,6.56772859638,2.41813404024,1,8.19918209878,11.1991977794,11.252375044,13.2523761844,13.269066353,15.7690811783,15.7690820336,354.634863325
20,354.63694115,4.84673728351e-06,A,CompNM,M2,Computer,Ken does not have any paper.,0.599805446251,4.09981000789,4.1530944709,8.17104251045,2,Sidewalk chalk,7.41417026418,3.26106125307,1,8.19007422351,14.1900833468,14.259719277,16.2597201323,16.2767931931,18.2768100142,18.2768108695,372.913749453
21,372.915662204,4.27653321822e-06,A,CompNM,M2,Computer,Ken only rides his bike in the street.,0.587017471633,4.08701747163,4.11943929518,8.13180702914,1,Road bike,7.39544247008,3.27599376653,0,8.15122904713,14.1512433022,14.2210522895,16.221056566,16.2379885013,19.23799905,19.2380001904,392.153659829
22,392.155716271,4.56163434137e-06,A,PeerMental,M2,Mitchell,I like homemade meals.,0.601199310964,4.1012035875,4.13424607856,8.14125132501,2,Pack lunch,6.2852447631,2.15099098678,1,8.16121190108,12.3612322004,12.4140496659,14.4140556531,14.4307084733,16.4307150306,16.4307161711,408.586429876
23,408.58853279,4.84673728351e-06,A,PeerNM,M2,Mitchell,I can play the piano and violin. ,0.603553970133,4.10355967218,4.13665148592,8.14842392646,2,Music,5.4125098289,1.2758486495,1,8.16844665481,11.568455607,11.6184565479,13.6184554074,13.6351256189,16.1351353124,16.1351361677,424.723666392
