,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000267996,2.28081398745e-06,A,CompMental,M1,Computer,Tim likes to run.,0.614622297236,4.11462742907,4.16465936046,8.16986417754,1,Soccer,5.96391039823,1.79924077411,1,8.18989371408,11.589899131,11.7097285261,13.7097288112,13.7264015601,15.726415245,15.7264161003,25.7264428998
1,25.7282544362,4.56162752016e-06,A,PeerNM,M1,Laurence,I only ride my bike in the street.,0.601305480795,4.10130833181,4.13464841255,8.15173427379,2,Road bike,6.0557208512,1.92106388559,1,8.17197906213,14.1719904662,14.2261971421,16.2261974272,16.2428656145,18.7428775887,18.7428790142,44.4711308845
2,44.4727348668,4.56162752016e-06,A,CompNM,M1,Computer,Tim is wearing socks today.,0.606730681507,4.10673410273,4.140095281,8.15108994389,2,Shoes,5.64133290758,1.50122821823,1,8.17092646656,11.1709367302,11.2568535604,13.2568558412,13.2737010765,17.4737062084,17.4737073488,61.9464399348
3,61.9480367895,4.27652594226e-06,A,CompMental,M1,Computer,Tim likes to get exercise.,0.601648173068,4.10165359,4.13505810373,8.1521830239,2,Kickball,5.29598434221,1.16091882584,1,8.18720406441,12.3872186046,12.4726507618,14.4726499065,14.4892870176,17.4892961409,17.4892969962,79.43733179
4,79.4390076179,3.99142390961e-06,A,PeerMental,M1,Laurence,I want to save money.,0.580709447131,4.08071172794,4.13366908813,8.15170633382,2,Yo-yo,5.63505525271,1.50137818173,1,8.18669743865,11.5867037109,11.6386962868,13.6387045548,13.6553687506,15.6554032479,15.6554043883,95.0944100105
5,95.0962084322,4.56162797491e-06,A,CompNM,M1,Computer,Tim's paint palette is dirty.,0.603493351428,4.10349705775,4.13671425965,8.1549941269,2,Clean palette,5.97788152313,1.84115215309,1,8.18893235106,14.1889389084,14.2559700301,16.2559694599,16.2722795593,18.7722858316,18.772286972,113.868493123
6,113.870218844,3.99142436436e-06,A,PeerMental,M1,Laurence,I really like to laugh. ,0.604570750844,4.10457502737,4.13777312745,8.14986343627,1,Funny movie,5.89383439011,1.7560518543,1,8.1697914766,12.3698043062,12.4235183263,14.4235291602,14.4408681918,17.840877315,17.8408784554,131.711095589
7,131.712745758,4.27652594226e-06,A,PeerNM,M1,Laurence,I am going to the beach later today.,0.601859433446,4.10186399507,4.13523030517,8.14871276572,1,Sunscreen,6.11137185248,1.97612615181,1,8.18357899599,11.1835798513,11.2348819109,13.2348836215,13.2515503832,15.7515672042,15.7515680595,147.464311536
8,147.466033836,4.27652548751e-06,A,PeerMental,M1,Laurence,I do not want to go to bed early.,0.583810213484,4.08381762613,4.11700660296,8.13501305766,2,11pm bedtime,5.87796676854,1.7609453403,1,8.1683537086,14.1683673935,14.21876397,16.2187673912,16.2354612376,18.2354740671,18.2354752076,165.701507048
9,165.703241322,4.56162752016e-06,A,PeerNM,M1,Laurence,My dog is sick.,0.586545194325,4.08654633473,4.1199405848,8.13838581106,1,Veterinarian,5.58073539139,1.4607796962,1,8.17344762111,14.1734590252,14.2263314251,16.2263354165,16.2429676809,19.2429816509,19.2429825062,184.946221832
