,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000273698,2.28081626119e-06,B,PeerNM,M2,Domenick,My paint palette is dirty.,0.589028196006,4.08903332784,4.12823825851,8.12991266189,N/A,Clean palette,N/A,N/A,0,8.14635220689,11.5463655497,11.5739611315,13.5739676888,13.5787482773,15.5787762173,15.5787773577,25.5788149911
1,25.5810681513,4.84673000756e-06,B,CompMental,M2,Computer,Ken wants to do some exercise.,0.561551786763,4.06155235696,4.09325169536,8.09892265699,1,Soccer,6.199139676544291,2.105880853639974,1,8.11558230064,14.1155922792,14.1824452505,16.1824518078,16.188065464,18.6880808595,18.6880819999,44.2691475853
2,44.2708961151,4.56163252238e-06,B,PeerNM,M2,Domenick,I am wearing socks today.,0.575328195038,4.07532790994,4.10259476929,8.11599626859,2,Shoes,6.239036264389142,2.136432371833507,1,8.13279561217,11.1328015993,11.1604077299,13.160416283,13.166216966,17.3662324755,17.3662336159,61.6371274502
3,61.6389284389,4.5616288844e-06,B,CompMental,M2,Computer,Ken wants to eat healthy.,0.573359281407,4.07336469834,4.10243710795,8.11896959617,1,Fish,5.450993266462319,1.3485476054593164,1,8.13571534059,12.3357200163,12.3716890405,14.3716950277,14.37718609,17.3771977792,17.3771986345,79.0161250776
4,79.0178602077,4.84673000756e-06,B,CompNM,M2,Computer,Ken has big feet. ,0.553565797807,4.05357406577,4.09843855399,8.11068881186,1,Big shoes,5.932744179786823,1.8342979280496365,1,8.12723869129,11.5272523192,11.5670724997,13.5670784868,13.5726029061,15.5726185867,15.5726197271,94.590477654
5,94.5921939674,4.27653139923e-06,B,CompMental,M2,Computer,Ken wants to save money.,0.567714264049,4.0677222469,4.10049670451,8.10335770194,2,Yo-yo,6.637482402089518,2.536977999825467,1,8.12003673253,14.1200484217,14.1609770784,16.1609779337,16.1660903807,18.6661034954,18.6661043507,113.258296607
6,113.260132093,5.13183476869e-06,B,CompMental,M2,Computer,Ken thinks his friend is busy.,0.584527292518,4.08452786272,4.11893139251,8.12583884103,2,Leave alone,6.479756625627488,2.360816394953872,1,8.1425158759,12.3425293897,12.3858765657,14.3858842635,14.4007089914,17.8007223341,17.8007234745,131.060853002
7,131.062857553,4.84673364554e-06,B,CompNM,M2,Computer,Ken's bedroom gets cold at night.,0.647510290753,4.14751513748,4.17887548974,8.19502195,1,Close window,6.79811051575598,2.6192261878641148,1,8.21178080911,11.2117919281,11.2529250028,13.2529307048,13.2584365925,15.7584497072,15.7584508476,146.82130612
8,146.82317924,4.27652776125e-06,B,PeerMental,M2,Domenick,I want to borrow a book. ,0.568134504225,4.06813992116,4.11537104015,8.11861521452,2,Library,6.907402898570581,2.792023020268971,1,8.13530336836,14.1353238957,14.166463294,16.1664647195,16.1719018976,18.1719150123,18.1719158676,164.995093111
9,164.996966231,4.27653139923e-06,B,PeerNM,M2,Domenick,I am playing with my little brother.,0.574342027612,4.07434715945,4.10310339106,8.11735534928,N/A,Nerf gun,N/A,N/A,0,8.13408854922,14.1341048,14.1662386337,16.1662426251,16.1711107398,19.1711247098,19.1711255651,184.1680898
10,184.169932984,4.27652776125e-06,B,PeerMental,M2,Domenick,I like to run.,0.576331468579,4.0763348898,4.10264722804,8.11929290171,1,Soccer,7.409921488644613,3.3072648522429517,1,8.13580543279,12.3358212274,12.3652662652,14.3652722523,14.3700508451,16.37006453,16.3700653853,200.539996659
11,200.541840983,4.56163252238e-06,B,CompNM,M2,Computer,Ken is in the living room. ,0.566349481316,4.06635461315,4.09882999888,8.09907404609,2,Watch TV,6.98791766713839,2.8890788301032444,0,8.11564473796,11.5156592211,11.5593975569,13.5594052547,13.5649846986,16.0649935367,16.064994392,216.606833379
12,216.608717903,4.27653139923e-06,B,CompMental,M2,Computer,Ken is scared of roller coasters.,0.5687648645,4.06876714532,4.10296369114,8.11685670608,2,Water park,6.451264683462796,2.3482930094723997,1,8.13356709788,11.5335858576,11.5774527743,13.5774544849,13.5827171806,15.5827302953,15.5827311506,232.191447057
13,232.193306777,4.56163252238e-06,B,CompNM,M2,Computer,Ken is drawing something blue.,0.56962159567,4.06962216587,4.10082457168,8.11594352474,1,The ocean,5.9363991859790985,1.8355683420522837,1,8.13256667535,14.1325786496,14.1745527749,16.1745593323,16.1803902361,18.6804064869,18.6804076273,250.873712409
14,250.875639982,4.27653139923e-06,B,PeerMental,M2,Domenick,I feel confused during math class.,0.555771060906,4.05577077581,4.08176066381,8.09079582771,1,Math tutor,6.3633766099010245,2.2816062526253518,1,8.10723366209,11.1072490576,11.135847913,13.1358521895,13.1411659185,17.3411794323,17.3411802876,268.216818274
15,268.218745563,4.56163252238e-06,B,PeerNM,M2,Domenick,My yard does not have any trees.,0.58076366251,4.08076423271,4.11234667933,8.1181733066,2,Volleyball net,5.802026675271918,1.6896714428876294,1,8.1348999492,12.3349200204,12.3765919377,14.3765950738,14.3820855659,17.3820932637,17.3820944041,285.600837971
16,285.602756137,4.27653139923e-06,B,PeerMental,M2,Domenick,I like homemade meals.,0.573880447657,4.07388557949,4.10180275625,8.1050894108,1,Pack lunch,5.957343625894282,1.8555314612749498,0,8.12182346606,11.5218322472,11.5544481882,13.5544493286,13.5595632011,15.5595748903,15.5595760307,301.162330172
