,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000245187,2.56591374637e-06,C,CompMental,F1,Computer,Sue thinks she is funny.,0.590718124811,4.09072012052,4.14167714889,8.15218199505,1,Tell a joke,5.45874012551576,1.3170487215502362,1,8.17146311757,11.5714757761,11.6378770323,13.6378838748,13.6551533218,15.6551670067,15.655167862,25.6551923807
1,25.6574466775,5.41692497791e-06,C,PeerNM,F1,Adrienne,I am going on a hike.,0.584439336693,4.08443876649,4.11674588684,8.11692835174,1,Trail mix,4.900523275107844,0.7837617076875176,1,8.13689143681,14.1369056919,14.1868429125,16.1868506103,16.2034660347,18.7034785792,18.7034794345,44.3609229759
2,44.3625839766,4.27652048529e-06,C,CompMental,F1,Computer,Sue wonders if the weather is nice.,0.618203610298,4.11821244844,4.1515818566,8.16319717271,1,Window,5.966833298931306,1.8152437445860414,1,8.197916536,11.1979325017,11.2502098346,13.2502183877,13.266886841,17.4669031488,17.4669040041,61.8294856999
3,61.8312792728,4.56162160845e-06,C,PeerMental,F1,Adrienne,I know the house is empty. ,0.58484646149,4.08484988271,4.11819676786,8.13483899183,2,Leave a note,6.058432387060748,1.9402282065639156,1,8.15507891036,12.3550926523,12.4061540277,14.4061557384,14.4219315392,17.4219409475,17.4219418028,79.2532190799
4,79.2550628306,4.56162160845e-06,C,PeerNM,F1,Adrienne,I have shin guards.,0.58074413746,4.0807518352,4.11411611153,8.12584404269,2,Soccer,4.875380467816285,0.7612549479345034,1,8.14590434734,11.5459121591,11.5964261399,13.5964307015,13.6130541088,15.6130595257,15.6130606662,94.868121216
5,94.8698939765,4.56162160845e-06,C,PeerMental,F1,Adrienne,I am angry at my mom.,0.607841885045,4.10784274035,4.14107529984,8.15671852851,2,Glare at mom,6.380100606580527,2.2390178941059276,1,8.19185727596,14.191876948,14.2428325508,16.2428339763,16.2594203204,18.7594305841,18.7594311543,113.629323135
6,113.631148639,4.27652048529e-06,C,CompMental,F1,Computer,Sue knows her sister is lying.,0.584658579668,4.08466029028,4.11803340476,8.13415531868,N/A,Tell on her,N/A,N/A,0,8.15429716233,12.3543097638,12.4246656616,14.4246659467,14.4412046789,17.8412164821,17.8412173374,131.472363696
7,131.474336598,4.8467227316e-06,C,CompNM,F1,Computer,Sue is playing with her little brother.,0.601396027512,4.10140001893,4.13494761547,8.1499105922,2,Nerf gun,6.920753500187857,2.7857967614763766,1,8.1701031839,11.170117439,11.2213581432,13.2213655559,13.2380317284,15.7380451281,15.7380459834,147.212380015
8,147.214299603,4.56162160845e-06,C,PeerNM,F1,Adrienne,I am drawing something blue.,0.586565622929,4.08657046965,4.11990566565,8.13668331279,1,The ocean,6.560884544196597,2.440968614897429,1,8.15667832921,14.156697431,14.2073502562,16.2073562433,16.2238784396,18.2238867075,18.2238875628,165.4381846
9,165.439995564,4.56162524642e-06,C,CompMental,F1,Computer,Sue is interested in the ocean.,0.605859575018,4.10586328134,4.13913375932,8.15100139016,2,Aquarium,6.175099300817237,2.0359572735615075,0,8.17103033365,14.1710468695,14.2214995535,16.2215018343,16.2387755579,19.2387915236,19.2387923789,184.678785662
