,CumulativeTrialStart,TrialStart,Block,MentalState,Condition,Speaker,Prompt,PromptOnset,PromptEnd,ChoiceOnset,ChoiceEnd,RespButton,CorrAnswer,ButtonPressTime,RT(sec),ACC,ISI_Onset,ISI_End,FeedbackOnset,FeedbackEnd,ITI_Onset,ITI_End,TrialEnd,CumulativeTrialEnd
0,10.0000210975,2.8510185075e-06,A,PeerNM,M2,Laurence,I am not at the pool. ,0.611498611982,4.11150502677,4.1448257301,8.14920831505,1,Swing set,5.16028737122,1.01544738603,0,8.18416949416,11.5841753102,11.6359825848,13.6359834401,13.6548312354,15.6548363672,15.6548372225,25.654858035
1,25.6567964422,2.10975340451e-05,A,PeerMental,M2,Laurence,I do not like fruit.,0.60497548267,4.10498104216,4.13821764045,8.14387719639,1,Soda,4.82903243005,0.690806521647,1,8.17895042051,14.1789532715,14.23445404,16.2344597421,16.2507416211,18.750754023,18.7507548783,44.4075327888
2,44.4093141049,5.7020361055e-06,A,CompMental,M2,Computer,Ken likes to play with animals.,0.601087549348,4.10109339393,4.13444545846,8.15195641136,2,Dog,5.61558839738,1.48113552628,1,8.17302885601,11.1730354134,11.2217918135,13.2217929539,13.2426612657,17.4426750076,17.4426758629,61.8519865466
3,61.853673494,4.5616288844e-06,A,PeerNM,M2,Laurence,I am running late for my piano lesson.,0.617900573026,4.11790328149,4.15127872436,8.16670700857,1,Shortcut,5.2702303252,1.11894219247,1,8.1867011982,12.3867212123,12.4383768128,14.4383856509,14.4550527025,17.4550581194,17.4550589747,79.3087301879
4,79.3104553389,4.27652776125e-06,A,CompNM,M2,Computer,Ken has big feet. ,0.621200056223,4.12120133918,4.15443993318,8.16827221749,1,Big shoes,5.07061601092,0.916159826932,1,8.2027598425,11.602775352,11.6733468871,13.6733468871,13.6899660415,15.6899802966,15.689981437,95.0004344952
5,95.002271121,4.5616288844e-06,A,CompMental,M2,Computer,Ken thinks it will be warm today.,0.619275048831,4.11927576159,4.15262468999,8.16793893347,1,T-shirt,4.83384352301,0.681203152429,0,8.1879331231,14.1879507994,14.2573414428,16.2573397322,16.2736535426,18.7736659445,18.7736667998,113.77593564
6,113.777827576,4.27652685175e-06,A,CompNM,M2,Computer,Ken can speak Spanish.,0.619548746565,4.11955373585,4.1519632538,8.17012309841,1,Mexico,5.73323480215,1.58125586775,1,8.20500644473,12.4050136293,12.4716079941,14.4716099899,14.4886579374,17.8886660343,17.8886668896,131.666492469
7,131.668343921,4.27652776125e-06,A,PeerMental,M2,Laurence,I want to stay dry at the lake.,0.588377425754,4.08837842361,4.12554229927,8.14355873767,2,Picnic,4.9067121233,0.78115927526,0,8.16006071528,11.1600644216,11.2131418247,13.2131483821,13.2317718022,15.7317830638,15.7317842042,147.400126129
8,147.402168598,5.13183204021e-06,A,CompNM,M2,Computer,Ken just got a new sleeping bag.,0.604413261909,4.10441283426,4.13776404347,8.14745807507,2,Go camping,4.99268770889,0.854915397465,1,8.18237648891,14.182387893,14.2491766973,16.2491804036,16.2698112255,18.0000008553,18.0000019957,165.402167458
9,165.403986407,3.99142481911e-06,A,PeerMental,M2,Laurence,I feel confused during math class.,0.587555477247,4.0875564751,4.12107019235,8.13424845311,1,Math tutor,4.85684468138,0.735766221081,1,8.17166122265,14.1716689204,14.2222844694,16.222285895,16.2424987577,19.2425104468,19.2425113021,184.646495999
10,184.648296702,4.27652685175e-06,A,CompNM,M2,Computer,Ken is going to a birthday party.,0.608303190945,4.10830304839,4.1416209007,8.15154643496,2,Party hat,5.58268337249,1.44104536568,0,8.18879812198,12.3888027406,12.458173712,14.4581816948,14.4781513657,16.4781584932,16.4781593485,201.126454055
11,201.128286119,4.5616288844e-06,A,PeerNM,M2,Laurence,I live far away from school.,0.608338828671,4.10834723917,4.14167364453,8.15961738197,2,Bus,5.06276915392,0.921080969198,0,8.19323116995,11.5932392668,11.6429863958,13.6430006509,13.6610983433,16.1611158771,16.1611170175,217.289400856
12,217.291394858,4.27652685175e-06,A,PeerMental,M2,Laurence,I do not know what time it is.,0.606325724822,4.10632928859,4.13858827279,8.13871172188,1,Clock,5.20239035056,1.06378611206,1,8.15872729414,11.5587365314,11.6135422217,13.6135479238,13.6301060664,15.6301143344,15.6301151897,232.921507767
